REGION,TECHNOLOGY,YEAR,VALUE
R,SPV,2020,0.05
R,SPV,2021,0.045
R,SPV,2022,0.04
R,SPV,2023,0.035
R,SPV,2024,0.03
R,SPV,2025,0.025
R,SPV,2026,0.02
R,SPV,2027,0.015
R,SPV,2028,0.01
R,SPV,2029,0.005
R,SPV,2030,0.00
R,HYD,2020,0.05
R,HYD,2021,0.045
R,HYD,2022,0.04
R,HYD,2023,0.035
R,HYD,2024,0.03
R,HYD,2025,0.025
R,HYD,2026,0.02
R,HYD,2027,0.015
R,HYD,2028,0.01
R,HYD,2029,0.005
R,HYD,2030,0.00
R,GAS,2020,0.05
R,GAS,2021,0.045
R,GAS,2022,0.04
R,GAS,2023,0.035
R,GAS,2024,0.03
R,GAS,2025,0.025
R,GAS,2026,0.02
R,GAS,2027,0.015
R,GAS,2028,0.01
R,GAS,2029,0.005
R,GAS,2030,0.00
