TIMESLICE,YEAR,VALUE
D1,2020,0.125
N1,2020,0.125
D2,2020,0.125
N2,2020,0.125
D3,2020,0.125
N3,2020,0.125
D4,2020,0.125
N4,2020,0.125
D1,2021,0.125
N1,2021,0.125
D2,2021,0.125
N2,2021,0.125
D3,2021,0.125
N3,2021,0.125
D4,2021,0.125
N4,2021,0.125
D1,2022,0.125
N1,2022,0.125
D2,2022,0.125
N2,2022,0.125
D3,2022,0.125
N3,2022,0.125
D4,2022,0.125
N4,2022,0.125
D1,2023,0.125
N1,2023,0.125
D2,2023,0.125
N2,2023,0.125
D3,2023,0.125
N3,2023,0.125
D4,2023,0.125
N4,2023,0.125
D1,2024,0.125
N1,2024,0.125
D2,2024,0.125
N2,2024,0.125
D3,2024,0.125
N3,2024,0.125
D4,2024,0.125
N4,2024,0.125
D1,2025,0.125
N1,2025,0.125
D2,2025,0.125
N2,2025,0.125
D3,2025,0.125
N3,2025,0.125
D4,2025,0.125
N4,2025,0.125
D1,2026,0.125
N1,2026,0.125
D2,2026,0.125
N2,2026,0.125
D3,2026,0.125
N3,2026,0.125
D4,2026,0.125
N4,2026,0.125
D1,2027,0.125
N1,2027,0.125
D2,2027,0.125
N2,2027,0.125
D3,2027,0.125
N3,2027,0.125
D4,2027,0.125
N4,2027,0.125
D1,2028,0.125
N1,2028,0.125
D2,2028,0.125
N2,2028,0.125
D3,2028,0.125
N3,2028,0.125
D4,2028,0.125
N4,2028,0.125
D1,2029,0.125
N1,2029,0.125
D2,2029,0.125
N2,2029,0.125
D3,2029,0.125
N3,2029,0.125
D4,2029,0.125
N4,2029,0.125
D1,2030,0.125
N1,2030,0.125
D2,2030,0.125
N2,2030,0.125
D3,2030,0.125
N3,2030,0.125
D4,2030,0.125
N4,2030,0.125
D1,2031,0.125
N1,2031,0.125
D2,2031,0.125
N2,2031,0.125
D3,2031,0.125
N3,2031,0.125
D4,2031,0.125
N4,2031,0.125
D1,2032,0.125
N1,2032,0.125
D2,2032,0.125
N2,2032,0.125
D3,2032,0.125
N3,2032,0.125
D4,2032,0.125
N4,2032,0.125
D1,2033,0.125
N1,2033,0.125
D2,2033,0.125
N2,2033,0.125
D3,2033,0.125
N3,2033,0.125
D4,2033,0.125
N4,2033,0.125
D1,2034,0.125
N1,2034,0.125
D2,2034,0.125
N2,2034,0.125
D3,2034,0.125
N3,2034,0.125
D4,2034,0.125
N4,2034,0.125
D1,2035,0.125
N1,2035,0.125
D2,2035,0.125
N2,2035,0.125
D3,2035,0.125
N3,2035,0.125
D4,2035,0.125
N4,2035,0.125
D1,2036,0.125
N1,2036,0.125
D2,2036,0.125
N2,2036,0.125
D3,2036,0.125
N3,2036,0.125
D4,2036,0.125
N4,2036,0.125
D1,2037,0.125
N1,2037,0.125
D2,2037,0.125
N2,2037,0.125
D3,2037,0.125
N3,2037,0.125
D4,2037,0.125
N4,2037,0.125
D1,2038,0.125
N1,2038,0.125
D2,2038,0.125
N2,2038,0.125
D3,2038,0.125
N3,2038,0.125
D4,2038,0.125
N4,2038,0.125
D1,2039,0.125
N1,2039,0.125
D2,2039,0.125
N2,2039,0.125
D3,2039,0.125
N3,2039,0.125
D4,2039,0.125
N4,2039,0.125
D1,2040,0.125
N1,2040,0.125
D2,2040,0.125
N2,2040,0.125
D3,2040,0.125
N3,2040,0.125
D4,2040,0.125
N4,2040,0.125
D1,2041,0.125
N1,2041,0.125
D2,2041,0.125
N2,2041,0.125
D3,2041,0.125
N3,2041,0.125
D4,2041,0.125
N4,2041,0.125
D1,2042,0.125
N1,2042,0.125
D2,2042,0.125
N2,2042,0.125
D3,2042,0.125
N3,2042,0.125
D4,2042,0.125
N4,2042,0.125
D1,2043,0.125
N1,2043,0.125
D2,2043,0.125
N2,2043,0.125
D3,2043,0.125
N3,2043,0.125
D4,2043,0.125
N4,2043,0.125
D1,2044,0.125
N1,2044,0.125
D2,2044,0.125
N2,2044,0.125
D3,2044,0.125
N3,2044,0.125
D4,2044,0.125
N4,2044,0.125
D1,2045,0.125
N1,2045,0.125
D2,2045,0.125
N2,2045,0.125
D3,2045,0.125
N3,2045,0.125
D4,2045,0.125
N4,2045,0.125
D1,2046,0.125
N1,2046,0.125
D2,2046,0.125
N2,2046,0.125
D3,2046,0.125
N3,2046,0.125
D4,2046,0.125
N4,2046,0.125
D1,2047,0.125
N1,2047,0.125
D2,2047,0.125
N2,2047,0.125
D3,2047,0.125
N3,2047,0.125
D4,2047,0.125
N4,2047,0.125
D1,2048,0.125
N1,2048,0.125
D2,2048,0.125
N2,2048,0.125
D3,2048,0.125
N3,2048,0.125
D4,2048,0.125
N4,2048,0.125
D1,2049,0.125
N1,2049,0.125
D2,2049,0.125
N2,2049,0.125
D3,2049,0.125
N3,2049,0.125
D4,2049,0.125
N4,2049,0.125
D1,2050,0.125
N1,2050,0.125
D2,2050,0.125
N2,2050,0.125
D3,2050,0.125
N3,2050,0.125
D4,2050,0.125
N4,2050,0.125
