REGION,TECHNOLOGY,YEAR,VALUE
"R","HYD",2020,0
"R","HYD",2021,0
"R","HYD",2022,0
"R","HYD",2023,0
"R","HYD",2024,0
"R","HYD",2025,0
"R","HYD",2026,0
"R","HYD",2027,0
"R","HYD",2028,0
"R","HYD",2029,0
"R","HYD",2030,0
"R","HYD",2031,0
"R","HYD",2032,0
"R","HYD",2033,0
"R","HYD",2034,0
"R","HYD",2035,0
"R","HYD",2036,0
"R","HYD",2037,0
"R","HYD",2038,0
"R","HYD",2039,0
"R","HYD",2040,0
"R","HYD",2041,0
"R","HYD",2042,0
"R","HYD",2043,0
"R","HYD",2044,0
"R","HYD",2045,0
"R","HYD",2046,0
"R","HYD",2047,0
"R","HYD",2048,0
"R","HYD",2049,0
"R","HYD",2050,0
"R","MINE_WAT",2020,0
"R","MINE_SOL",2021,0
"R","MINE_SOL",2022,0
"R","MINE_SOL",2023,0
"R","MINE_SOL",2024,0
"R","MINE_SOL",2025,0
"R","MINE_SOL",2026,0
"R","MINE_SOL",2027,0
"R","MINE_SOL",2028,0
"R","MINE_SOL",2029,0
"R","MINE_SOL",2030,0
"R","MINE_SOL",2031,0
"R","MINE_SOL",2032,0
"R","MINE_SOL",2033,0
"R","MINE_SOL",2034,0
"R","MINE_SOL",2035,0
"R","MINE_SOL",2036,0
"R","MINE_SOL",2037,0
"R","MINE_SOL",2038,0
"R","MINE_SOL",2039,0
"R","MINE_SOL",2040,0
"R","MINE_SOL",2041,0
"R","MINE_SOL",2042,0
"R","MINE_SOL",2043,0
"R","MINE_SOL",2044,0
"R","MINE_SOL",2045,0
"R","MINE_SOL",2046,0
"R","MINE_SOL",2047,0
"R","MINE_SOL",2048,0
"R","MINE_SOL",2049,0
"R","MINE_SOL",2050,0
