REGION,TECHNOLOGY,YEAR,VALUE
"R","HYD",2020,0.402420387015862
"R","HYD",2021,0.0318194277925058
"R","HYD",2022,0.034791119686954
"R","HYD",2023,0.0380062085382725
"R","HYD",2024,0.0414853947624091
"R","HYD",2025,0.0452454289865419
"R","HYD",2026,0.0493162232200657
"R","HYD",2027,0.0537195233528537
"R","HYD",2028,0.0584772662931804
"R","HYD",2029,0.0636205082668976
"R","HYD",2030,0.0691852648815909
"R","HYD",2031,0.0751943904413614
"R","HYD",2032,0.0816891362207996
"R","HYD",2033,0.0887112940599414
"R","HYD",2034,0.0962891254751754
"R","HYD",2035,0.104483767819845
"R","HYD",2036,0.113328837607565
"R","HYD",2037,0.122881743649625
"R","HYD",2038,0.133205218660224
"R","HYD",2039,0.144343340503892
"R","HYD",2040,0.15637407645659
"R","HYD",2041,0.169361542574938
"R","HYD",2042,0.183384813215055
"R","HYD",2043,0.19851859406131
"R","HYD",2044,0.214857613376018
"R","HYD",2045,0.232487332058769
"R","HYD",2046,0.251518334413678
"R","HYD",2047,0.272051905600174
"R","HYD",2048,0.294214669784862
"R","HYD",2049,0.318128897306861
"R","HYD",2050,0.343927377703179
