REGION,TECHNOLOGY,YEAR,VALUE
"R","HYD",2020,0.0380517503805175
"R","HYD",2021,0.00296347031963471
"R","HYD",2022,0.00319444444444443
"R","HYD",2023,0.00344330289193305
"R","HYD",2024,0.00371156773211567
"R","HYD",2025,0.0040003805175038
"R","HYD",2026,0.00431202435312025
"R","HYD",2027,0.00464802130898021
"R","HYD",2028,0.00500989345509894
"R","HYD",2029,0.00539992389649923
"R","HYD",2030,0.00582077625570778
"R","HYD",2031,0.00627397260273973
"R","HYD",2032,0.00676255707762556
"R","HYD",2033,0.00728957382039575
"R","HYD",2034,0.00785692541856923
"R","HYD",2035,0.00846917808219179
"R","HYD",2036,0.00912861491628617
"R","HYD",2037,0.0098394216133942
"R","HYD",2038,0.0106061643835616
"R","HYD",2039,0.0114318873668189
"R","HYD",2040,0.012322298325723
"R","HYD",2041,0.0132819634703196
"R","HYD",2042,0.0143165905631659
"R","HYD",2043,0.0154315068493151
"R","HYD",2044,0.0166335616438356
"R","HYD",2045,0.0179288432267884
"R","HYD",2046,0.0193253424657534
"R","HYD",2047,0.0208302891933029
"R","HYD",2048,0.0224528158295281
"R","HYD",2049,0.0242016742770168
"R","HYD",2050,0.0260863774733638
"R","MINE_WAT",2020,1.2
"R","MINE_SOL",2021,1.293456
"R","MINE_SOL",2022,1.394196
"R","MINE_SOL",2023,1.502784
"R","MINE_SOL",2024,1.619832
"R","MINE_SOL",2025,1.745988
"R","MINE_SOL",2026,1.881972
"R","MINE_SOL",2027,2.028552
"R","MINE_SOL",2028,2.186544
"R","MINE_SOL",2029,2.356836
"R","MINE_SOL",2030,2.5404
"R","MINE_SOL",2031,2.738256
"R","MINE_SOL",2032,2.95152
"R","MINE_SOL",2033,3.181404
"R","MINE_SOL",2034,3.42918
"R","MINE_SOL",2035,3.696264
"R","MINE_SOL",2036,3.984144
"R","MINE_SOL",2037,4.29444
"R","MINE_SOL",2038,4.628916
"R","MINE_SOL",2039,4.989432
"R","MINE_SOL",2040,5.378028
"R","MINE_SOL",2041,5.796888
"R","MINE_SOL",2042,6.248376
"R","MINE_SOL",2043,6.735024
"R","MINE_SOL",2044,7.25958
"R","MINE_SOL",2045,7.824984
"R","MINE_SOL",2046,8.434428
"R","MINE_SOL",2047,9.091332
"R","MINE_SOL",2048,9.799404
"R","MINE_SOL",2049,10.562628
"R","MINE_SOL",2050,11.385288
