REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
"R","D1","HYD","ELC",2020,0.15
"R","D1","HYD","ELC",2021,0.161682
"R","D1","HYD","ELC",2022,0.14522875
"R","D1","HYD","ELC",2023,0.15654
"R","D1","HYD","ELC",2024,0.1687325
"R","D1","HYD","ELC",2025,0.18187375
"R","D1","HYD","ELC",2026,0.19603875
"R","D1","HYD","ELC",2027,0.2113075
"R","D1","HYD","ELC",2028,0.227765
"R","D1","HYD","ELC",2029,0.24550375
"R","D1","HYD","ELC",2030,0.264625
"R","D1","HYD","ELC",2031,0.342282
"R","D1","HYD","ELC",2032,0.36894
"R","D1","HYD","ELC",2033,0.3976755
"R","D1","HYD","ELC",2034,0.4286475
"R","D1","HYD","ELC",2035,0.462033
"R","D1","HYD","ELC",2036,0.498018
"R","D1","HYD","ELC",2037,0.536805
"R","D1","HYD","ELC",2038,0.5786145
"R","D1","HYD","ELC",2039,0.623679
"R","D1","HYD","ELC",2040,0.56021125
"R","D1","HYD","ELC",2041,0.724611
"R","D1","HYD","ELC",2042,0.781047
"R","D1","HYD","ELC",2043,0.841878
"R","D1","HYD","ELC",2044,0.75620625
"R","D1","HYD","ELC",2045,0.978123
"R","D1","HYD","ELC",2046,1.0543035
"R","D1","HYD","ELC",2047,1.1364165
"R","D1","HYD","ELC",2048,1.2249255
"R","D1","HYD","ELC",2049,1.3203285
"R","D1","HYD","ELC",2050,1.1859675
"R","D1","MINE_WAT","WAT",2020,0.15
"R","D1","MINE_SOL","WAT",2021,0.161682
"R","D1","MINE_SOL","WAT",2022,0.14522875
"R","D1","MINE_SOL","WAT",2023,0.15654
"R","D1","MINE_SOL","WAT",2024,0.1687325
"R","D1","MINE_SOL","WAT",2025,0.18187375
"R","D1","MINE_SOL","WAT",2026,0.19603875
"R","D1","MINE_SOL","WAT",2027,0.2113075
"R","D1","MINE_SOL","WAT",2028,0.227765
"R","D1","MINE_SOL","WAT",2029,0.24550375
"R","D1","MINE_SOL","WAT",2030,0.264625
"R","D1","MINE_SOL","WAT",2031,0.342282
"R","D1","MINE_SOL","WAT",2032,0.36894
"R","D1","MINE_SOL","WAT",2033,0.3976755
"R","D1","MINE_SOL","WAT",2034,0.4286475
"R","D1","MINE_SOL","WAT",2035,0.462033
"R","D1","MINE_SOL","WAT",2036,0.498018
"R","D1","MINE_SOL","WAT",2037,0.536805
"R","D1","MINE_SOL","WAT",2038,0.5786145
"R","D1","MINE_SOL","WAT",2039,0.623679
"R","D1","MINE_SOL","WAT",2040,0.56021125
"R","D1","MINE_SOL","WAT",2041,0.724611
"R","D1","MINE_SOL","WAT",2042,0.781047
"R","D1","MINE_SOL","WAT",2043,0.841878
"R","D1","MINE_SOL","WAT",2044,0.75620625
"R","D1","MINE_SOL","WAT",2045,0.978123
"R","D1","MINE_SOL","WAT",2046,1.0543035
"R","D1","MINE_SOL","WAT",2047,1.1364165
"R","D1","MINE_SOL","WAT",2048,1.2249255
"R","D1","MINE_SOL","WAT",2049,1.3203285
"R","D1","MINE_SOL","WAT",2050,1.1859675
"R","D1","MINE_SOL","SOL",2021,0.161682
"R","D1","MINE_SOL","SOL",2022,0.14522875
"R","D1","MINE_SOL","SOL",2023,0.15654
"R","D1","MINE_SOL","SOL",2024,0.1687325
"R","D1","MINE_SOL","SOL",2025,0.18187375
"R","D1","MINE_SOL","SOL",2026,0.19603875
"R","D1","MINE_SOL","SOL",2027,0.2113075
"R","D1","MINE_SOL","SOL",2028,0.227765
"R","D1","MINE_SOL","SOL",2029,0.24550375
"R","D1","MINE_SOL","SOL",2030,0.264625
"R","D1","MINE_SOL","SOL",2031,0.342282
"R","D1","MINE_SOL","SOL",2032,0.36894
"R","D1","MINE_SOL","SOL",2033,0.3976755
"R","D1","MINE_SOL","SOL",2034,0.4286475
"R","D1","MINE_SOL","SOL",2035,0.462033
"R","D1","MINE_SOL","SOL",2036,0.498018
"R","D1","MINE_SOL","SOL",2037,0.536805
"R","D1","MINE_SOL","SOL",2038,0.5786145
"R","D1","MINE_SOL","SOL",2039,0.623679
"R","D1","MINE_SOL","SOL",2040,0.56021125
"R","D1","MINE_SOL","SOL",2041,0.724611
"R","D1","MINE_SOL","SOL",2042,0.781047
"R","D1","MINE_SOL","SOL",2043,0.841878
"R","D1","MINE_SOL","SOL",2044,0.75620625
"R","D1","MINE_SOL","SOL",2045,0.978123
"R","D1","MINE_SOL","SOL",2046,1.0543035
"R","D1","MINE_SOL","SOL",2047,1.1364165
"R","D1","MINE_SOL","SOL",2048,1.2249255
"R","D1","MINE_SOL","SOL",2049,1.3203285
"R","D1","MINE_SOL","SOL",2050,1.1859675
"R","N1","HYD","ELC",2020,0.15
"R","N1","HYD","ELC",2021,0.161682
"R","N1","HYD","ELC",2022,0.14522875
"R","N1","HYD","ELC",2023,0.187848
"R","N1","HYD","ELC",2024,0.202479
"R","N1","HYD","ELC",2025,0.2182485
"R","N1","HYD","ELC",2026,0.2352465
"R","N1","HYD","ELC",2027,0.253569
"R","N1","HYD","ELC",2028,0.227765
"R","N1","HYD","ELC",2029,0.2946045
"R","N1","HYD","ELC",2030,0.264625
"R","N1","HYD","ELC",2031,0.285235
"R","N1","HYD","ELC",2032,0.30745
"R","N1","HYD","ELC",2033,0.33139625
"R","N1","HYD","ELC",2034,0.35720625
"R","N1","HYD","ELC",2035,0.3850275
"R","N1","HYD","ELC",2036,0.415015
"R","N1","HYD","ELC",2037,0.4473375
"R","N1","HYD","ELC",2038,0.48217875
"R","N1","HYD","ELC",2039,0.5197325
"R","N1","HYD","ELC",2040,0.56021125
"R","N1","HYD","ELC",2041,0.724611
"R","N1","HYD","ELC",2042,0.6508725
"R","N1","HYD","ELC",2043,0.841878
"R","N1","HYD","ELC",2044,0.9074475
"R","N1","HYD","ELC",2045,0.8151025
"R","N1","HYD","ELC",2046,0.87858625
"R","N1","HYD","ELC",2047,0.94701375
"R","N1","HYD","ELC",2048,1.02077125
"R","N1","HYD","ELC",2049,1.3203285
"R","N1","HYD","ELC",2050,1.423161
"R","N1","MINE_WAT","WAT",2020,0.15
"R","N1","MINE_SOL","WAT",2021,0.161682
"R","N1","MINE_SOL","WAT",2022,0.1742745
"R","N1","MINE_SOL","WAT",2023,0.187848
"R","N1","MINE_SOL","WAT",2024,0.202479
"R","N1","MINE_SOL","WAT",2025,0.2182485
"R","N1","MINE_SOL","WAT",2026,0.2352465
"R","N1","MINE_SOL","WAT",2027,0.253569
"R","N1","MINE_SOL","WAT",2028,0.273318
"R","N1","MINE_SOL","WAT",2029,0.2946045
"R","N1","MINE_SOL","WAT",2030,0.31755
"R","N1","MINE_SOL","WAT",2031,0.342282
"R","N1","MINE_SOL","WAT",2032,0.36894
"R","N1","MINE_SOL","WAT",2033,0.3976755
"R","N1","MINE_SOL","WAT",2034,0.4286475
"R","N1","MINE_SOL","WAT",2035,0.462033
"R","N1","MINE_SOL","WAT",2036,0.498018
"R","N1","MINE_SOL","WAT",2037,0.536805
"R","N1","MINE_SOL","WAT",2038,0.5786145
"R","N1","MINE_SOL","WAT",2039,0.623679
"R","N1","MINE_SOL","WAT",2040,0.6722535
"R","N1","MINE_SOL","WAT",2041,0.724611
"R","N1","MINE_SOL","WAT",2042,0.6508725
"R","N1","MINE_SOL","WAT",2043,0.841878
"R","N1","MINE_SOL","WAT",2044,0.9074475
"R","N1","MINE_SOL","WAT",2045,0.978123
"R","N1","MINE_SOL","WAT",2046,1.0543035
"R","N1","MINE_SOL","WAT",2047,0.94701375
"R","N1","MINE_SOL","WAT",2048,1.02077125
"R","N1","MINE_SOL","WAT",2049,1.3203285
"R","N1","MINE_SOL","WAT",2050,1.423161
"R","N1","MINE_SOL","SOL",2021,0.161682
"R","N1","MINE_SOL","SOL",2022,0.1742745
"R","N1","MINE_SOL","SOL",2023,0.187848
"R","N1","MINE_SOL","SOL",2024,0.202479
"R","N1","MINE_SOL","SOL",2025,0.2182485
"R","N1","MINE_SOL","SOL",2026,0.2352465
"R","N1","MINE_SOL","SOL",2027,0.253569
"R","N1","MINE_SOL","SOL",2028,0.273318
"R","N1","MINE_SOL","SOL",2029,0.2946045
"R","N1","MINE_SOL","SOL",2030,0.31755
"R","N1","MINE_SOL","SOL",2031,0.342282
"R","N1","MINE_SOL","SOL",2032,0.36894
"R","N1","MINE_SOL","SOL",2033,0.3976755
"R","N1","MINE_SOL","SOL",2034,0.4286475
"R","N1","MINE_SOL","SOL",2035,0.462033
"R","N1","MINE_SOL","SOL",2036,0.498018
"R","N1","MINE_SOL","SOL",2037,0.536805
"R","N1","MINE_SOL","SOL",2038,0.5786145
"R","N1","MINE_SOL","SOL",2039,0.623679
"R","N1","MINE_SOL","SOL",2040,0.6722535
"R","N1","MINE_SOL","SOL",2041,0.724611
"R","N1","MINE_SOL","SOL",2042,0.6508725
"R","N1","MINE_SOL","SOL",2043,0.841878
"R","N1","MINE_SOL","SOL",2044,0.9074475
"R","N1","MINE_SOL","SOL",2045,0.978123
"R","N1","MINE_SOL","SOL",2046,1.0543035
"R","N1","MINE_SOL","SOL",2047,0.94701375
"R","N1","MINE_SOL","SOL",2048,1.02077125
"R","N1","MINE_SOL","SOL",2049,1.3203285
"R","N1","MINE_SOL","SOL",2050,1.423161
"R","D2","HYD","ELC",2020,0.15
"R","D2","HYD","ELC",2021,0.161682
"R","D2","HYD","ELC",2022,0.1742745
"R","D2","HYD","ELC",2023,0.187848
"R","D2","HYD","ELC",2024,0.202479
"R","D2","HYD","ELC",2025,0.2182485
"R","D2","HYD","ELC",2026,0.2352465
"R","D2","HYD","ELC",2027,0.253569
"R","D2","HYD","ELC",2028,0.273318
"R","D2","HYD","ELC",2029,0.2946045
"R","D2","HYD","ELC",2030,0.31755
"R","D2","HYD","ELC",2031,0.342282
"R","D2","HYD","ELC",2032,0.36894
"R","D2","HYD","ELC",2033,0.3976755
"R","D2","HYD","ELC",2034,0.4286475
"R","D2","HYD","ELC",2035,0.462033
"R","D2","HYD","ELC",2036,0.498018
"R","D2","HYD","ELC",2037,0.536805
"R","D2","HYD","ELC",2038,0.5786145
"R","D2","HYD","ELC",2039,0.623679
"R","D2","HYD","ELC",2040,0.6722535
"R","D2","HYD","ELC",2041,0.724611
"R","D2","HYD","ELC",2042,0.781047
"R","D2","HYD","ELC",2043,0.841878
"R","D2","HYD","ELC",2044,0.9074475
"R","D2","HYD","ELC",2045,0.978123
"R","D2","HYD","ELC",2046,1.0543035
"R","D2","HYD","ELC",2047,1.1364165
"R","D2","HYD","ELC",2048,1.2249255
"R","D2","HYD","ELC",2049,1.3203285
"R","D2","HYD","ELC",2050,1.423161
"R","D2","MINE_WAT","WAT",2020,0.15
"R","D2","MINE_SOL","WAT",2021,0.161682
"R","D2","MINE_SOL","WAT",2022,0.1742745
"R","D2","MINE_SOL","WAT",2023,0.187848
"R","D2","MINE_SOL","WAT",2024,0.202479
"R","D2","MINE_SOL","WAT",2025,0.2182485
"R","D2","MINE_SOL","WAT",2026,0.2352465
"R","D2","MINE_SOL","WAT",2027,0.253569
