REGION,TECHNOLOGY,YEAR,VALUE
"R","HYD",2020,0.0380517503805175
"R","HYD",2021,0.0410152207001522
"R","HYD",2022,0.0442096651445966
"R","HYD",2023,0.0476529680365297
"R","HYD",2024,0.0513645357686454
"R","HYD",2025,0.0553649162861492
"R","HYD",2026,0.0596769406392694
"R","HYD",2027,0.0643249619482496
"R","HYD",2028,0.0693348554033486
"R","HYD",2029,0.0747347792998478
"R","HYD",2030,0.0805555555555556
"R","HYD",2031,0.0868295281582953
"R","HYD",2032,0.0935920852359208
"R","HYD",2033,0.100881659056317
"R","HYD",2034,0.108738584474886
"R","HYD",2035,0.117207762557078
"R","HYD",2036,0.126336377473364
"R","HYD",2037,0.136175799086758
"R","HYD",2038,0.14678196347032
"R","HYD",2039,0.158213850837139
"R","HYD",2040,0.170536149162862
"R","HYD",2041,0.183818112633181
"R","HYD",2042,0.198134703196347
"R","HYD",2043,0.213566210045662
"R","HYD",2044,0.230199771689498
"R","HYD",2045,0.248128614916286
"R","HYD",2046,0.26745395738204
"R","HYD",2047,0.288284246575342
"R","HYD",2048,0.310737062404871
"R","HYD",2049,0.334938736681887
"R","HYD",2050,0.361025114155251
"R","MINE_WAT",2020,1.2
"R","MINE_SOL",2021,1.293456
"R","MINE_SOL",2022,1.394196
"R","MINE_SOL",2023,1.502784
"R","MINE_SOL",2024,1.619832
"R","MINE_SOL",2025,1.745988
"R","MINE_SOL",2026,1.881972
"R","MINE_SOL",2027,2.028552
"R","MINE_SOL",2028,2.186544
"R","MINE_SOL",2029,2.356836
"R","MINE_SOL",2030,2.5404
"R","MINE_SOL",2031,2.738256
"R","MINE_SOL",2032,2.95152
"R","MINE_SOL",2033,3.181404
"R","MINE_SOL",2034,3.42918
"R","MINE_SOL",2035,3.696264
"R","MINE_SOL",2036,3.984144
"R","MINE_SOL",2037,4.29444
"R","MINE_SOL",2038,4.628916
"R","MINE_SOL",2039,4.989432
"R","MINE_SOL",2040,5.378028
"R","MINE_SOL",2041,5.796888
"R","MINE_SOL",2042,6.248376
"R","MINE_SOL",2043,6.735024
"R","MINE_SOL",2044,7.25958
"R","MINE_SOL",2045,7.824984
"R","MINE_SOL",2046,8.434428
"R","MINE_SOL",2047,9.091332
"R","MINE_SOL",2048,9.799404
"R","MINE_SOL",2049,10.562628
"R","MINE_SOL",2050,11.385288
