REGION,TECHNOLOGY,YEAR,VALUE
"R","HYD",2020,1.125
"R","HYD",2021,1.158721
"R","HYD",2022,1.24896725
"R","HYD",2023,1.314936
"R","HYD",2024,1.484846
"R","HYD",2025,1.5277395
"R","HYD",2026,1.725141
"R","HYD",2027,1.774983
"R","HYD",2028,1.958779
"R","HYD",2029,2.160433
"R","HYD",2030,2.275775
"R","HYD",2031,2.510068
"R","HYD",2032,2.70556
"R","HYD",2033,2.916287
"R","HYD",2034,3.143415
"R","HYD",2035,3.388242
"R","HYD",2036,3.652132
"R","HYD",2037,3.93657
"R","HYD",2038,4.243173
"R","HYD",2039,4.573646
"R","HYD",2040,4.81781675
"R","HYD",2041,5.4345825
"R","HYD",2042,5.727678
"R","HYD",2043,6.033459
"R","HYD",2044,6.3521325
"R","HYD",2045,7.172902
"R","HYD",2046,7.731559
"R","HYD",2047,8.333721
"R","HYD",2048,9.3910955
"R","HYD",2049,9.90246375
"R","HYD",2050,9.962127
"R","MINE_WAT",2020,1.125
"R","MINE_SOL",2021,1.158721
"R","MINE_SOL",2022,1.30705875
"R","MINE_SOL",2023,1.346244
"R","MINE_SOL",2024,1.5185925
"R","MINE_SOL",2025,1.56411425
"R","MINE_SOL",2026,1.76434875
"R","MINE_SOL",2027,1.774983
"R","MINE_SOL",2028,2.049885
"R","MINE_SOL",2029,2.20953375
"R","MINE_SOL",2030,2.381625
"R","MINE_SOL",2031,2.567115
"R","MINE_SOL",2032,2.76705
"R","MINE_SOL",2033,2.98256625
"R","MINE_SOL",2034,3.21485625
"R","MINE_SOL",2035,3.4652475
"R","MINE_SOL",2036,3.735135
"R","MINE_SOL",2037,4.0260375
"R","MINE_SOL",2038,4.33960875
"R","MINE_SOL",2039,4.6775925
"R","MINE_SOL",2040,4.929859
"R","MINE_SOL",2041,5.4345825
"R","MINE_SOL",2042,5.727678
"R","MINE_SOL",2043,6.033459
"R","MINE_SOL",2044,6.3521325
"R","MINE_SOL",2045,7.3359225
"R","MINE_SOL",2046,7.90727625
"R","MINE_SOL",2047,8.333721
"R","MINE_SOL",2048,9.3910955
"R","MINE_SOL",2049,9.90246375
"R","MINE_SOL",2050,9.962127
